Metropolitan,Gender,Family_num,Elder_Household,GrandChild_Household,Single_Household,Multi_Household,Disability_status,Master_EduCode,Master_WithLive,Master_IndustryCode,Manster_Jobcode,Master_Age,Master_EmpCode,Master_MarriCode,Tenancy_Type,Housing_Type,Debt_Holding,Income_code,Assets,Liabilities,Principal_Interest,Spend_Consum,Spend_NonConsum,Master_Retired
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,3,0,1,7000,0,0,1068,3,2
0,2,1,0,0,0,0,0,4,1,17,4,5,1,3,2,3,0,2,8010,0,0,1050,375,1
0,1,3,0,0,0,0,0,3,2,7,5,3,3,2,1,2,1,6,24823,3000,0,3503,1644,1
0,1,5,0,0,0,0,0,3,2,3,8,4,1,2,1,2,1,7,50758,1300,300,1528,793,1
0,1,4,0,0,0,0,0,3,2,7,9,3,1,2,1,2,0,2,20470,0,0,3330,223,1
0,1,3,0,0,0,0,0,4,2,6,9,5,2,2,1,2,1,9,104740,15000,0,3076,1681,1
0,1,4,0,0,0,0,0,3,2,19,7,5,3,2,1,1,0,6,28805,0,0,2822,329,1
0,2,1,0,0,0,0,0,3,1,22,11,3,4,1,1,3,0,4,17276,0,505,1838,658,1
0,2,1,1,0,0,0,0,4,1,22,11,5,4,3,1,1,1,4,39120,1000,20,2320,108,2
0,1,4,0,0,0,0,0,3,2,12,8,4,1,2,1,2,0,8,33122,0,0,3307,1031,1
0,2,2,0,0,0,0,0,3,2,22,11,4,4,3,1,2,1,3,8013,3898,201,1680,348,1
0,1,2,1,0,0,0,1,2,2,1,6,5,3,2,1,1,0,3,12400,0,0,1496,47,1
0,1,2,0,0,0,0,1,1,2,22,11,5,4,2,1,1,0,3,5744,0,0,1150,14,2
0,1,4,0,0,0,0,0,3,2,3,8,2,1,2,3,2,0,6,1370,0,108,3240,608,1
0,1,1,0,0,0,0,0,4,1,7,5,1,3,1,1,2,0,3,8520,0,0,1240,516,1
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,2,0,1,23500,0,0,735,30,2
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,0,1,8050,0,0,895,7,2
0,2,1,1,0,0,0,0,2,1,1,6,5,3,3,4,1,0,2,21515,0,0,1055,31,1
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,4,1,0,2,200,0,0,969,66,2
0,1,1,0,0,0,0,0,4,1,3,8,4,1,4,1,2,1,4,13650,6363,1165,1852,693,1
0,1,3,0,0,0,0,0,2,2,1,6,3,3,1,1,1,1,7,44950,2000,60,1954,243,1
0,1,3,0,0,0,0,1,3,2,15,9,5,2,2,1,2,1,4,26490,6000,1000,2290,214,1
0,2,1,0,0,0,0,0,1,1,15,9,5,2,3,1,3,0,1,7100,0,0,728,11,1
0,2,1,0,0,0,0,0,4,1,17,2,1,1,1,3,2,0,2,5500,0,0,1800,277,1
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,2,0,1,42050,0,0,946,43,2
0,1,2,1,0,0,0,0,4,2,8,8,5,3,2,1,2,0,5,56080,0,0,1267,288,1
0,2,1,0,0,0,0,0,4,1,11,3,2,1,1,3,4,1,6,9100,3300,416,2850,1178,1
0,1,2,0,0,0,0,0,4,2,19,2,4,1,2,4,2,1,5,500,5700,240,2500,695,1
0,1,1,1,0,0,0,0,3,1,14,9,5,1,4,1,2,0,3,38262,0,0,1440,222,1
0,2,1,0,0,0,0,0,3,1,19,4,2,3,1,3,2,1,3,7400,3500,610,1210,156,1
0,1,2,0,0,0,0,0,3,2,12,9,4,1,2,3,2,1,7,24530,11500,1030,2754,1778,1
0,1,2,0,0,0,0,0,4,2,6,7,3,1,2,1,2,1,8,44900,6400,540,3874,1192,1
0,1,2,0,0,0,0,0,4,2,3,2,2,1,2,1,2,0,9,71716,0,0,2606,1424,1
0,1,2,0,0,0,0,0,4,2,13,2,5,1,2,1,2,1,6,40400,8000,0,1228,407,1
0,2,1,1,0,0,0,0,1,1,7,5,5,3,3,2,1,0,1,7030,0,0,733,1,1
0,1,1,0,0,0,0,0,3,1,7,3,4,3,4,3,1,1,3,6600,8000,902,2970,696,1
0,2,2,0,0,0,0,0,1,2,17,4,5,2,4,1,3,1,3,5260,1500,127,1800,303,1
0,1,2,1,0,0,0,0,3,2,22,11,5,4,2,1,1,0,3,89900,0,0,2264,345,2
0,1,2,0,0,0,0,0,3,2,16,8,4,1,2,1,2,1,6,81023,2980,909,2971,860,1
0,1,3,0,0,0,0,0,1,2,22,11,5,4,2,1,1,0,5,24510,0,0,1868,404,2
0,1,5,0,0,0,0,0,4,2,3,2,3,1,2,1,3,1,7,17060,4200,890,4640,1354,1
0,1,2,1,0,0,0,0,1,2,7,9,5,3,2,4,3,0,3,10630,0,0,2472,21,1
0,1,3,0,0,0,0,0,4,2,16,2,3,1,2,1,2,1,3,36966,15,100,2360,292,1
0,1,1,1,0,0,0,1,1,1,22,11,5,4,3,1,1,0,1,510,0,0,614,1,2
0,1,3,0,0,0,0,1,2,2,3,7,5,1,2,4,1,1,8,32152,60,291,2750,1155,1
0,1,1,0,0,0,0,0,4,1,14,4,4,1,4,2,2,0,5,83150,0,0,1900,707,1
0,1,2,0,0,0,0,0,4,2,13,2,5,1,2,1,2,0,8,46800,0,0,2670,748,1
0,1,2,1,0,0,0,1,3,2,1,6,5,3,2,1,1,0,2,41922,0,0,2372,322,1
0,2,1,0,0,0,0,0,3,1,22,11,4,4,4,1,2,0,3,48356,0,129,1377,184,1
0,1,4,0,0,0,0,0,4,2,3,8,3,1,2,1,2,1,8,51499,4800,332,4730,1066,1
0,2,1,0,0,0,0,0,2,1,17,4,5,1,3,3,2,1,2,4900,900,12,1404,107,1
0,1,2,1,0,0,0,1,4,2,22,11,5,4,2,1,1,0,2,19300,0,0,1050,69,2
0,1,2,1,0,0,0,0,1,2,1,6,5,3,2,1,1,0,2,7000,0,0,318,154,1
0,2,1,1,0,0,0,1,1,1,22,11,5,4,3,1,1,0,1,4600,0,0,676,6,2
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,0,2,5355,0,0,1178,9,2
0,1,2,1,0,0,0,0,1,2,1,6,5,3,2,1,1,0,4,8822,0,0,1094,764,1
0,1,1,0,0,0,0,0,4,1,1,9,1,2,1,3,1,0,2,810,0,0,765,174,1
0,1,1,0,0,0,0,0,4,1,22,11,4,4,1,4,1,1,1,48240,250,0,1187,209,1
0,2,1,1,0,0,0,1,1,1,15,9,5,2,3,4,1,1,1,14977,300,310,415,14,1
0,2,1,1,0,0,0,0,3,1,22,11,5,4,3,4,1,0,1,50,0,0,1158,1,2
0,1,1,1,0,0,0,0,3,1,22,11,5,4,4,3,1,1,1,570,1000,0,1274,0,2
