Family_ID,Metropolitan,Gender,Family_num,Elder_Household,GrandChild_Household,Single_Household,Multi_Household,Disability_status,Master_EduCode,Master_WithLive,Master_IndustryCode,Manster_Jobcode,Master_Age,Master_EmpCode,Master_MarriCode,Tenancy_Type,Housing_Type,Debt_Holding,Income_code,Assets,Liabilities,Principal_Interest,Spend_Consum,Spend_NonConsum,Master_Retired
681000362,0,1,2,0,0,0,0,0,3,2,11,2,4,3,2,3,2,1,6,17400,10000,360,3680,1036,1
681000392,0,2,2,1,0,0,0,0,2,2,15,3,5,2,2,1,1,1,3,40481,1500,0,1160,60,1
681100352,0,1,1,0,0,0,0,0,3,1,22,11,4,4,1,2,1,0,2,2380,0,0,1254,319,1
681100362,0,1,4,0,0,0,0,0,4,2,7,5,2,1,2,3,1,0,5,17320,0,0,3320,318,1
681100392,0,1,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,0,3,5030,0,0,804,14,2
681200302,0,1,1,0,0,0,0,0,3,1,22,11,5,4,4,3,1,1,1,10,600,0,1142,24,2
681200332,0,1,1,0,0,0,0,0,2,1,3,7,5,2,4,3,2,0,3,65697,0,0,1153,1039,1
681200382,0,1,2,1,0,0,0,0,1,2,3,8,5,1,2,1,2,1,7,102250,3460,650,2436,1593,1
681200392,0,2,3,0,0,0,0,0,2,2,22,11,5,4,3,1,2,1,5,35326,7060,1116,2420,302,2
681300302,0,1,1,1,0,0,0,0,4,1,22,11,5,4,3,1,1,0,1,26800,0,0,2614,121,2
681300312,0,2,1,0,0,0,0,1,3,1,22,11,5,4,4,3,1,1,1,1566,20,40,1263,228,1
681300342,0,2,2,0,0,1,0,0,4,2,22,11,4,4,4,1,3,0,4,31205,0,0,2984,213,1
681300362,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,4,2,0,1,40,0,0,925,1,2
681300372,0,1,3,0,0,0,0,0,3,2,13,3,2,3,2,3,1,1,5,2752,1000,70,3942,253,1
681300382,0,2,2,0,0,0,0,0,2,2,9,9,3,2,4,3,1,1,3,2654,1921,623,2462,100,1
681900321,0,2,1,1,0,0,0,0,1,1,7,5,5,3,3,4,1,0,2,1880,0,0,787,41,1
681900361,0,1,1,0,0,0,0,0,2,1,14,9,4,2,4,3,1,0,2,16,0,0,684,15,1
681900381,0,1,3,0,0,0,0,0,3,2,6,7,4,1,2,1,1,1,6,15214,200,6,2210,528,1
682000322,0,2,1,1,0,0,0,0,3,1,22,11,5,4,3,1,2,0,1,17100,0,0,1124,63,2
682000372,0,1,1,0,0,0,0,0,4,1,6,7,2,2,1,1,2,1,4,19250,1600,96,1955,165,1
682000392,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,4,1,0,1,2605,0,0,1049,51,1
682100302,0,1,5,0,0,1,0,1,1,2,22,11,5,4,2,1,1,1,5,10050,400,30,2962,183,2
682100312,0,1,2,1,0,0,0,0,3,2,22,11,5,4,2,2,1,1,3,15540,1000,0,1165,11,2
682100322,0,1,2,0,0,0,0,1,2,2,22,11,3,4,1,3,2,0,1,225,0,0,773,1,2
682100342,0,1,1,0,0,0,0,1,3,1,22,11,5,4,3,1,3,0,2,19991,0,0,2264,62,2
682100392,0,1,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,0,2,7842,0,0,1398,49,2
682200302,0,2,4,0,0,1,0,1,4,2,17,3,3,1,4,3,2,0,5,16196,0,0,2665,165,1
682200342,0,1,4,0,0,0,0,0,4,2,7,3,3,1,2,1,2,0,8,52503,0,0,4321,1094,1
682200392,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,1,1,22117,50,0,875,30,2
682300312,0,1,2,1,0,0,0,1,2,2,22,11,5,4,2,1,1,1,3,34350,400,0,2304,43,2
682300322,0,1,3,0,0,0,0,0,4,2,13,2,4,1,2,1,2,1,5,42724,30,72,5354,580,1
682300362,0,2,2,0,0,0,0,0,2,2,9,4,5,3,3,3,1,1,3,3741,4000,84,1930,247,1
682300382,0,1,2,1,0,0,0,0,1,2,17,9,5,2,2,1,1,0,4,59536,0,0,1271,663,1
682300392,0,1,2,0,0,0,0,0,3,2,17,8,5,2,2,1,1,0,4,5480,0,0,1532,169,1
682900301,0,1,4,0,0,0,0,0,4,2,3,8,3,1,2,3,1,1,6,9689,2170,804,3600,807,1
682900331,0,1,2,1,0,0,0,0,4,2,22,11,5,4,2,1,2,0,6,66600,0,360,2436,631,2
682900351,0,1,2,0,0,0,0,0,2,2,15,9,5,2,2,1,1,0,7,41716,0,0,1859,513,1
682900361,0,2,1,1,0,0,0,0,1,1,22,11,5,4,4,3,1,0,1,1833,0,0,622,21,2
682900381,0,2,1,1,0,0,0,0,1,1,15,9,5,2,3,1,1,1,1,7172,1300,52,373,79,1
683000312,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,4,1,0,1,250,0,0,445,24,2
683100322,0,1,2,1,0,0,0,1,1,2,1,6,5,3,2,1,1,0,3,31985,0,0,1429,66,1
683100332,0,2,1,1,0,0,0,0,1,1,1,6,5,3,3,1,1,0,2,17035,0,0,2856,162,1
