Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Optimized RFC with SMOTE,0.41345616973757676,0.4262957979895388,0.41345616973757676,0.4174084583459067,0.85636945041544
Optimized RFC,0.42294807370184256,0.428956349464831,0.42294807370184256,0.42454407606551103,0.8570657374111494
