Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest with SMOTETomek Sampling,0.40675600223338915,0.41781980658684764,0.40675600223338915,0.41025010816600027,0.8462391135694244
Balanced Random Forest,0.4089893914014517,0.41038269516030257,0.4089893914014517,0.4071207749648785,0.8503506459227331
