Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.4022892238972641,0.3824341661716543,0.4022892238972641,0.3892409952029879,0.8572608015716078
XGBoost,0.4064768285873814,0.4015850660230985,0.4064768285873814,0.4026945086696975,0.8495967056435546
Basic Random Forest,0.41178112786152987,0.4120985310056549,0.41178112786152987,0.40906367607119526,0.8473554854928291
